daerah,tahun,total_sma,total_smk,total_slb
aceh barat,2020,9519,5448,292
aceh barat,2021,9476,5647,331
aceh barat,2022,9368,5687,322
aceh barat daya,2020,9053,2083,225
aceh barat daya,2021,5042,1148,233
aceh barat daya,2022,4940,1119,230
aceh besar,2020,17036,6401,354
aceh besar,2021,17754,6383,376
aceh besar,2022,17197,6404,352
aceh jaya,2020,2851,1778,105
aceh jaya,2021,4845,1809,129
aceh jaya,2022,4716,1793,128
aceh selatan,2020,13308,2933,83
aceh selatan,2021,13008,2929,90
aceh selatan,2022,12831,2899,82
aceh singkil,2020,7328,1981,87
aceh singkil,2021,7087,1930,89
aceh singkil,2022,3988,2022,93
aceh tamiang,2020,9775,660,576
aceh tamiang,2021,9896,3850,577
aceh tamiang,2022,18008,3868,559
aceh tengah,2020,8737,4610,776
aceh tengah,2021,8691,4537,760
aceh tengah,2022,8386,4585,769
aceh tenggara,2020,13274,2807,120
aceh tenggara,2021,13170,2682,132
aceh tenggara,2022,7120,4813,130
aceh timur,2020,8918,4086,352
aceh timur,2021,8633,3900,378
aceh timur,2022,15510,7127,368
aceh utara,2020,15217,5130,564
aceh utara,2021,27592,9654,573
aceh utara,2022,27124,9853,542
banda aceh,2020,20256,9602,1261
banda aceh,2021,20567,9939,1268
banda aceh,2022,19569,5140,1295
bener meriah,2020,6816,2597,463
bener meriah,2021,6775,2640,454
bener meriah,2022,6387,2725,448
bireuen,2020,20097,7819,710
bireuen,2021,10898,7918,735
bireuen,2022,11110,4150,848
gayo lues,2020,5428,573,200
gayo lues,2021,5385,596,197
gayo lues,2022,2771,637,205
langsa,2020,7932,7168,645
langsa,2021,4714,6948,663
langsa,2022,4510,3917,658
lhokseumawe,2020,7724,8973,473
lhokseumawe,2021,7554,8859,487
lhokseumawe,2022,7300,8824,490
nagan raya,2020,8296,1594,190
nagan raya,2021,8260,1593,192
nagan raya,2022,7973,1626,194
pidie,2020,19605,6955,563
pidie,2021,19774,6878,560
pidie,2022,10344,6754,565
pidie jaya,2020,4065,1206,326
pidie jaya,2021,7185,1324,334
pidie jaya,2022,7061,2447,318
sabang,2020,2369,702,106
sabang,2021,1230,752,110
sabang,2022,24,728,109
simeulue,2020,7566,1878,73
simeulue,2021,7767,1839,86
simeulue,2022,7670,1962,181
subulussalam,2020,6104,2839,31
subulussalam,2021,5976,2784,47
subulussalam,2022,5979,2886,40
