daerah,negeri,swasta,total
aceh barat,4.0,5.0,9.0
aceh barat daya,,2.0,2.0
aceh besar,3.0,5.0,8.0
aceh jaya,,,0.0
aceh selatan,,2.0,2.0
aceh singkil,,1.0,1.0
aceh tamiang,,3.0,3.0
aceh tengah,1.0,5.0,6.0
aceh tenggara,,5.0,5.0
aceh timur,,3.0,3.0
aceh utara,1.0,2.0,3.0
bener meriah,,,0.0
bireuen,1.0,8.0,9.0
gayo lues,,1.0,1.0
nagan raya,,1.0,1.0
pidie,,7.0,7.0
pidie jaya,,1.0,1.0
simeulue,,,0.0
banda aceh,4.0,41.0,45.0
langsa,3.0,5.0,8.0
lhokseumawe,3.0,10.0,13.0
sabang,,1.0,1.0
subulussalam,,,0.0
